time_period,period2,time_identifier,la_name,new_la_code,headcount
201920,2019-20,Academic year,Westminster,E09000033,9626
201920,2019-20,Academic year,Barking and Dagenham,E09000002,25722
201920,2019-20,Academic year,Barnet,E09000003,31456
201920,2019-20,Academic year,Bexley,E09000004,23261
201920,2019-20,Academic year,Brent,E09000005,27073
201920,2019-20,Academic year,Bromley,E09000006,27958
201920,2019-20,Academic year,Croydon,E09000008,33138
201920,2019-20,Academic year,Ealing,E09000009,32443
201920,2019-20,Academic year,Enfield,E09000010,32523
201920,2019-20,Academic year,Haringey,E09000014,22741
201920,2019-20,Academic year,Harrow,E09000015,22218
201920,2019-20,Academic year,Havering,E09000016,23613
201920,2019-20,Academic year,Hillingdon,E09000017,30406
201920,2019-20,Academic year,Hounslow,E09000018,24767
201920,2019-20,Academic year,Kingston upon Thames,E09000021,14647
201920,2019-20,Academic year,Merton,E09000024,18502
201920,2019-20,Academic year,Newham,E09000025,35740
201920,2019-20,Academic year,Redbridge,E09000026,29818
201920,2019-20,Academic year,Richmond upon Thames,E09000027,17606
201920,2019-20,Academic year,Sutton,E09000029,19192
201920,2019-20,Academic year,Waltham Forest,E09000031,25581
202021,2020-21,Academic year,City of London,E09000001,270
202021,2020-21,Academic year,Camden,E09000007,11128
202021,2020-21,Academic year,Greenwich,E09000011,25839
202021,2020-21,Academic year,Hackney,E09000012,19432
202021,2020-21,Academic year,Hammersmith and Fulham,E09000013,9928
202021,2020-21,Academic year,Islington,E09000019,14473
202021,2020-21,Academic year,Kensington and Chelsea,E09000020,6983
202021,2020-21,Academic year,Lambeth,E09000022,21107
202021,2020-21,Academic year,Lewisham,E09000023,24114
202021,2020-21,Academic year,Southwark,E09000028,23370
202021,2020-21,Academic year,Tower Hamlets,E09000030,25463
202021,2020-21,Academic year,Wandsworth,E09000032,19820
202021,2020-21,Academic year,Westminster,E09000033,9096
202021,2020-21,Academic year,Barking and Dagenham,E09000002,24999
202021,2020-21,Academic year,Barnet,E09000003,30826
202021,2020-21,Academic year,Bexley,E09000004,22935
202021,2020-21,Academic year,Brent,E09000005,26364
202021,2020-21,Academic year,Bromley,E09000006,27999
202021,2020-21,Academic year,Croydon,E09000008,32480
202021,2020-21,Academic year,Ealing,E09000009,31327
202021,2020-21,Academic year,Enfield,E09000010,31307
202021,2020-21,Academic year,Haringey,E09000014,21710
202021,2020-21,Academic year,Harrow,E09000015,21896
202021,2020-21,Academic year,Havering,E09000016,23772
202021,2020-21,Academic year,Hillingdon,E09000017,29589
202021,2020-21,Academic year,Hounslow,E09000018,24069
202021,2020-21,Academic year,Kingston upon Thames,E09000021,14211
202021,2020-21,Academic year,Merton,E09000024,17791
202021,2020-21,Academic year,Newham,E09000025,34818
202021,2020-21,Academic year,Redbridge,E09000026,29441
202021,2020-21,Academic year,Richmond upon Thames,E09000027,17312
202021,2020-21,Academic year,Sutton,E09000029,19014
202021,2020-21,Academic year,Waltham Forest,E09000031,25061
202122,2021-22,Academic year,City of London,E09000001,277
202122,2021-22,Academic year,Camden,E09000007,11071
202122,2021-22,Academic year,Greenwich,E09000011,25494
202122,2021-22,Academic year,Hackney,E09000012,18971
202122,2021-22,Academic year,Hammersmith and Fulham,E09000013,9630
202122,2021-22,Academic year,Islington,E09000019,14098
202122,2021-22,Academic year,Kensington and Chelsea,E09000020,7005
202122,2021-22,Academic year,Lambeth,E09000022,20305
202122,2021-22,Academic year,Lewisham,E09000023,23362
202122,2021-22,Academic year,Southwark,E09000028,22689
202122,2021-22,Academic year,Tower Hamlets,E09000030,25678
202122,2021-22,Academic year,Wandsworth,E09000032,19280
202122,2021-22,Academic year,Westminster,E09000033,8881
202122,2021-22,Academic year,Barking and Dagenham,E09000002,24594
202122,2021-22,Academic year,Barnet,E09000003,30848
202122,2021-22,Academic year,Bexley,E09000004,22662
202122,2021-22,Academic year,Brent,E09000005,26240
202122,2021-22,Academic year,Bromley,E09000006,27907
202122,2021-22,Academic year,Croydon,E09000008,32186
202122,2021-22,Academic year,Ealing,E09000009,30602
202122,2021-22,Academic year,Enfield,E09000010,30679
